"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 23 09:58:41 GMT 2024","Mon Sep 23 09:58:51 GMT 2024","10559","Supermarket A","","","","","The user searches for a product but can't see the products prices without enabling the location",""
"failed","Mon Sep 23 09:59:06 GMT 2024","Mon Sep 23 09:59:18 GMT 2024","12451","Supermarket A","","","","","The user filters the products by ascending price",""
"passed","Mon Sep 23 09:58:52 GMT 2024","Mon Sep 23 09:59:06 GMT 2024","14081","Supermarket A","","","","","The user enables the location to see the products prices",""
