"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 23 09:44:15 GMT 2024","Mon Sep 23 09:44:28 GMT 2024","13438","Supermarket A","","","","","The user enables the location to see the products prices",""
"failed","Mon Sep 23 09:44:29 GMT 2024","Mon Sep 23 09:44:41 GMT 2024","12192","Supermarket A","","","","","The user filters the products by ascending price",""
"passed","Mon Sep 23 09:44:02 GMT 2024","Mon Sep 23 09:44:15 GMT 2024","12606","Supermarket A","","","","","The user searches for a product but can't see the products prices without enabling the location",""
